budget,id,popularity,release_date,revenue,runtime,title,vote_average,vote_count,release_year,release_month,profit,roi,hitflop,director_Christopher_Nolan,director_Steven_Spielberg,director_James_Cameron,director_Quentin_Tarantino,director_Ridley_Scott,director_Peter_Jackson,director_David_Fincher,director_Martin_Scorsese,director_Denis_Villeneuve,director_Jon_Favreau,director_JJ_Abrams,director_Zack_Snyder,director_other,company_Walt_Disney_Pictures,company_Warner_Bros,company_Universal_Pictures,company_Columbia_Pictures,company_Paramount_Pictures,company_20th_Century_Fox,company_Marvel_Studios,company_Pixar,company_Lionsgate,company_MGM,company_DreamWorks_Animation,company_New_Line_Cinema,company_Legendary_Pictures,genre_Drama,genre_Comedy,genre_Action,genre_Thriller,genre_Romance,genre_Adventure,genre_Horror
210000000,36668,3.857526,2006-05-24,459359555,104.0,X-Men: The Last Stand,6.3,3525,2006,5,249359555,1.1874264523809523,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
200000000,62211,89.186492,2013-06-20,743559607,104.0,Monsters University,7.0,3528,2013,6,543559607,2.717798035,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000000,8373,21.939663,2009-06-19,836297228,150.0,Transformers: Revenge of the Fallen,6.0,3138,2009,6,686297228,4.575314853333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
210000000,91314,116.840296,2014-06-25,1091405097,165.0,Transformers: Age of Extinction,5.8,3095,2014,6,881405097,4.1971671285714285,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
200000000,68728,46.985445,2013-03-07,491868548,130.0,Oz: The Great and Powerful,5.7,3530,2013,3,291868548,1.45934274,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200000000,102382,89.270217,2014-04-16,705717432,142.0,The Amazing Spider-Man 2,6.5,4179,2014,4,505717432,2.52858716,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
170000000,20526,73.79505,2010-12-10,400062763,125.0,TRON: Legacy,6.3,2841,2010,12,230062763,1.3533103705882352,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
200000000,49013,49.98659,2011-06-11,559852396,106.0,Cars 2,5.8,2033,2011,6,359852396,1.79926198,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
200000000,44912,51.872839,2011-06-16,219851172,114.0,Green Lantern,5.1,2487,2011,6,19851172,0.09925586,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
200000000,10193,59.995418,2010-06-16,1066969703,103.0,Toy Story 3,7.6,4597,2010,6,866969703,4.334848515,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
200000000,534,71.862892,2009-05-20,371353001,115.0,Terminator Salvation,5.9,2463,2009,5,171353001,0.856765005,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
190000000,168259,102.322217,2015-04-01,1506249360,137.0,Furious 7,7.3,4176,2015,4,1316249360,6.927628210526316,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
200000000,72190,81.834855,2013-06-20,531865000,116.0,World War Z,6.7,5560,2013,6,331865000,1.659325,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
250000000,127585,118.078691,2014-05-15,747862775,131.0,X-Men: Days of Future Past,7.5,6032,2014,5,497862775,1.9914511,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
190000000,54138,78.291018,2013-05-05,467365246,132.0,Star Trek Into Darkness,7.4,4418,2013,5,277365246,1.4598170842105265,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
195000000,81005,43.349855,2013-02-27,197687603,114.0,Jack the Giant Slayer,5.5,2598,2013,2,2687603,0.0137825794871794,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
105000000,64682,61.196071,2013-05-10,351040419,143.0,The Great Gatsby,7.3,3769,2013,5,246040419,2.3432420857142855,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
150000000,9543,62.169881,2010-05-19,335154643,116.0,Prince of Persia: The Sands of Time,6.2,2317,2010,5,185154643,1.2343642866666666,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
180000000,68726,56.523205,2013-07-11,407602906,131.0,Pacific Rim,6.7,4794,2013,7,227602906,1.264460588888889,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
195000000,38356,28.529607,2011-06-28,1123746996,154.0,Transformers: Dark of the Moon,6.1,3299,2011,6,928746996,4.762805107692308,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
185000000,217,75.674458,2008-05-21,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,2008,5,601636033,3.2520866648648648,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
175000000,105864,51.692953,2015-11-14,331926147,93.0,The Good Dinosaur,6.6,1736,2015,11,156926147,0.89672084,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
185000000,62177,125.114374,2012-06-21,538983207,93.0,Brave,6.7,4641,2012,6,353983207,1.9134227405405408,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
185000000,188927,65.352913,2016-07-07,343471816,122.0,Star Trek Beyond,6.6,2568,2016,7,158471816,0.8566044108108108,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
180000000,10681,66.390712,2008-06-22,521311860,98.0,WALL·E,7.8,6296,2008,6,341311860,1.896177,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000000,5174,22.57178,2007-08-08,258022233,91.0,Rush Hour 3,6.1,783,2007,8,118022233,0.84301595,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
200000000,14161,45.274225,2009-10-10,769653595,158.0,2012,5.6,4903,2009,10,569653595,2.848267975,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
200000000,17979,39.744242,2009-11-04,325233863,96.0,A Christmas Carol,6.6,1095,2009,11,125233863,0.626169315,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
176000003,76757,85.36908,2015-02-04,183987723,124.0,Jupiter Ascending,5.2,2768,2015,2,7987720,0.0453847719536686,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
180000000,258489,42.741719,2016-06-29,356743061,109.0,The Legend of Tarzan,5.5,2430,2016,6,176743061,0.9819058944444444,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
180000000,411,67.391328,2005-12-07,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,2005,12,568806957,3.16003865,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
178000000,246655,139.272042,2016-05-18,543934787,144.0,X-Men: Apocalypse,6.4,4721,2016,5,365934787,2.0558134101123597,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185000000,155,187.322927,2008-07-16,1004558444,152.0,The Dark Knight,8.2,12002,2008,7,819558444,4.430045643243243,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
175000000,14160,92.201962,2009-05-13,735099082,96.0,Up,7.7,6870,2009,5,560099082,3.200566182857143,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
175000000,15512,36.167578,2009-03-19,381509870,94.0,Monsters vs Aliens,6.0,1423,2009,3,206509870,1.1800564,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
140000000,1726,120.725053,2008-04-30,585174222,126.0,Iron Man,7.4,8776,2008,4,445174222,3.1798158714285716,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
170000000,44826,32.319043,2011-11-22,185770160,126.0,Hugo,7.0,2141,2011,11,15770160,0.0927656470588235,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
170000000,8487,40.748915,1999-06-29,222104681,106.0,Wild Wild West,5.1,1020,1999,6,52104681,0.3064981235294117,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
145000000,1735,60.034162,2008-07-01,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,1387,2008,7,256128639,1.7664044068965516,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
175000000,297761,90.23792,2016-08-02,745000000,123.0,Suicide Squad,5.9,7458,2016,8,570000000,3.257142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
175000000,2698,27.082182,2007-06-09,173000000,96.0,Evan Almighty,5.3,1151,2007,6,-2000000,-0.0114285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
178000000,137113,79.456485,2014-05-27,370541256,113.0,Edge of Tomorrow,7.6,4858,2014,5,192541256,1.0816924494382023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
175000000,9804,44.640292,1995-07-28,264218220,135.0,Waterworld,5.9,992,1995,7,89218220,0.5098184,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
175000000,14869,32.852443,2009-08-04,302469017,118.0,G.I. Joe: The Rise of Cobra,5.6,1962,2009,8,127469017,0.7283943828571429,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
175000000,150540,128.655964,2015-06-09,857611174,94.0,Inside Out,8.0,6560,2015,6,682611174,3.90063528,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
175000000,278927,94.199316,2016-04-07,966550600,106.0,The Jungle Book,6.7,2892,2016,4,791550600,4.523146285714286,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
200000000,10138,77.300194,2010-04-28,623933331,124.0,Iron Man 2,6.6,6849,2010,4,423933331,2.119666655,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
170000000,58595,77.178973,2012-05-30,396600000,127.0,Snow White and the Huntsman,5.8,3118,2012,5,226600000,1.3329411764705883,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
180000000,102651,110.620647,2014-05-28,758539785,97.0,Maleficent,7.0,4496,2014,5,578539785,3.2141099166666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
170000000,119450,243.791743,2014-06-26,710644566,130.0,Dawn of the Planet of the Apes,7.3,4410,2014,6,540644566,3.1802621529411765,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
175000000,64686,41.796339,2013-12-06,150962475,119.0,47 Ronin,5.9,1326,2013,12,-24037525,-0.1373572857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
170000000,100402,72.225265,2014-03-20,714766572,136.0,Captain America: The Winter Soldier,7.6,5764,2014,3,544766572,3.2045092470588235,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
165000000,10192,44.041186,2010-05-16,752600867,93.0,Shrek Forever After,6.0,1959,2010,5,587600867,3.561217375757576,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
190000000,158852,130.311355,2015-05-19,209154322,130.0,Tomorrowland,6.2,2846,2015,5,19154322,0.1008122210526315,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165000000,177572,203.73459,2014-10-24,652105443,102.0,Big Hero 6,7.8,6135,2014,10,487105443,2.9521542,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
165000000,82690,62.341073,2012-11-01,471222889,108.0,Wreck-It Ralph,7.1,4570,2012,11,306222889,1.855896296969697,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
165000000,5255,47.323228,2004-11-10,305875730,100.0,The Polar Express,6.4,1474,2004,11,140875730,0.8537923030303031,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165000000,47933,48.775723,2016-06-22,389681935,120.0,Independence Day: Resurgence,4.9,2491,2016,6,224681935,1.361708696969697,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
165000000,10191,67.263269,2010-03-05,494878759,98.0,How to Train Your Dragon,7.5,4227,2010,3,329878759,1.999265206060606,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
200000000,296,69.405188,2003-07-02,435000000,109.0,Terminator 3: Rise of the Machines,5.9,2143,2003,7,235000000,1.175,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
170000000,118340,481.098624,2014-07-30,773328629,121.0,Guardians of the Galaxy,7.9,9742,2014,7,603328629,3.5489919352941177,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
165000000,157336,724.247784,2014-11-05,675120017,169.0,Interstellar,8.1,10867,2014,11,510120017,3.0916364666666665,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
160000000,27205,167.58371,2010-07-14,825532764,148.0,Inception,8.1,13752,2010,7,665532764,4.159579775,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
15000000,315011,9.476999,2016-07-29,77000000,120.0,Shin Godzilla,6.5,143,2016,7,62000000,4.133333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
250000000,49051,108.849621,2012-11-26,1021103568,169.0,The Hobbit: An Unexpected Journey,7.0,8297,2012,11,771103568,3.084414272,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
38000000,9799,6.909942,2001-06-22,207283925,106.0,The Fast and the Furious,6.6,3428,2001,6,169283925,4.454840131578948,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
150000000,4922,60.269279,2008-11-24,333932083,166.0,The Curious Case of Benjamin Button,7.3,3292,2008,11,183932083,1.2262138866666668,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
160000000,49538,3.195174,2011-05-24,353624124,132.0,X-Men: First Class,7.1,5181,2011,5,193624124,1.210150775,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
160000000,131634,127.284427,2015-11-18,653428261,137.0,The Hunger Games: Mockingjay - Part 2,6.6,3984,2015,11,493428261,3.08392663125,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
